country,i,n,t,p,a
slovenia,52.49,64.67,42.51,55.38,41.66
somalia,48.81,47.8,43.72,46.4,50.28
south-africa,45.7,57.83,36.91,47.18,47.57
republic-of-korea,50.16,55.23,39.61,54.59,41.82
spain,49.55,67.44,37.18,57.02,43.7
sri-lanka,43.11,59.53,37.11,52.4,41.32
sudan,48.58,59.87,46.54,51.65,44.54
suriname,52.38,59.85,37.56,53.57,48.96
sweden,50.05,60.29,39.24,55.35,46.1
switzerland,46.4,62.06,39.56,53.86,47.65
syria,46.78,63.93,52.38,51.1,42.98
tajikistan,40.79,52.28,38.31,50.74,49.58
tanzania,43.46,55.16,40.47,47.62,47.42
thailand,48.33,53.17,36.89,50.81,46.3
trinidad-and-tobago,54.61,58.97,38.85,49.02,47.51
tunisia,52.49,71.39,47.82,59.36,44.16
turkey,46.78,63.69,49.1,55.16,41.85
uganda,42.31,49.87,37.61,44.27,52.7
ukraine,48.9,58.53,52.19,49.08,48.49
united-arab-emirates,42.01,56.79,38.31,50.35,45.18
united-kingdom,50.33,60.07,33.63,54.05,37.51
united-states,50.4,59.21,35.2,52.96,42.84
uruguay,58.76,68.3,41.92,57.27,39.75
uzbekistan,41.5,54.9,51.17,44.13,49.7
vanuatu,44.9,52.65,32.46,52.53,50.14
venezuela,52.23,65.9,44.88,53.66,47.82
vietnam,48.94,54.28,38.3,53.25,40.94
yemen,48.06,58.08,48.15,53.47,45.36
zambia,45.92,53.51,39.66,43.52,52.1
zimbabwe,43.92,56.51,39.79,45.95,47.77
